000000,s1_camera_offhand_1
M000398,s3_apple_pick_all_m
000399,s3_cubemedium_inspect_1
M000399,s3_cubemedium_inspect_1_m
000400,s3_mug_drink_2
M000400,s3_mug_drink_2_m
000401,s3_wineglass_drink_1
M000401,s3_wineglass_drink_1_m
000402,s3_cylindermedium_pass_1
M000402,s3_cylindermedium_pass_1_m
000403,s3_stanfordbunny_pick_all
M000403,s3_stanfordbunny_pick_all_m
000404,s3_hand_pass_1
M000404,s3_hand_pass_1_m
000405,s3_elephant_pass_1
M000405,s3_elephant_pass_1_m
000406,s3_alarmclock_see_1
M000406,s3_alarmclock_see_1_m
000407,s3_cylinderlarge_pass_1
M000407,s3_cylinderlarge_pass_1_m
000408,s3_alarmclock_pass_1
M000408,s3_alarmclock_pass_1_m
000409,s3_camera_takepicture_1
M000409,s3_camera_takepicture_1_m
000410,s3_mug_drink_3
M000410,s3_mug_drink_3_m
000411,s3_flashlight_on_1
M000411,s3_flashlight_on_1_m
000412,s3_toruslarge_inspect_1
M000412,s3_toruslarge_inspect_1_m
000413,s3_gamecontroller_pick_all
M000413,s3_gamecontroller_pick_all_m
000414,s3_phone_pass_1
M000414,s3_phone_pass_1_m
000415,s3_gamecontroller_play_1
M000415,s3_gamecontroller_play_1_m
000416,s3_mouse_pick_all
M000416,s3_mouse_pick_all_m
000417,s3_stanfordbunny_inspect_1
M000417,s3_stanfordbunny_inspect_1_m
000418,s3_camera_pass_1
M000418,s3_camera_pass_1_m
000419,s3_elephant_pick_all
M000419,s3_elephant_pick_all_m
000420,s3_toothbrush_pass_1
M000420,s3_toothbrush_pass_1_m
000421,s3_spheresmall_pass_1
M000421,s3_spheresmall_pass_1_m
000422,s3_gamecontroller_pass_1
M000422,s3_gamecontroller_pass_1_m
000423,s3_fryingpan_pick_all
M000423,s3_fryingpan_pick_all_m
000424,s3_spheremedium_inspect_1
M000424,s3_spheremedium_inspect_1_m
000425,s3_doorknob_use_2
M000425,s3_doorknob_use_2_m
000426,s3_camera_takepicture_3
M000426,s3_camera_takepicture_3_m
000427,s3_spherelarge_pass_1
M000427,s3_spherelarge_pass_1_m
000428,s3_train_play_1
M000428,s3_train_play_1_m
000429,s3_cubelarge_pass_1
M000429,s3_cubelarge_pass_1_m
000430,s3_toruslarge_pick_all
M000430,s3_toruslarge_pick_all_m
000431,s3_pyramidmedium_inspect_1
M000431,s3_pyramidmedium_inspect_1_m
000432,s3_alarmclock_offhand_1
M000432,s3_alarmclock_offhand_1_m
000433,s3_headphones_use_1
M000433,s3_headphones_use_1_m
000434,s3_piggybank_pass_1
M000434,s3_piggybank_pass_1_m
000435,s3_cup_drink_1
M000435,s3_cup_drink_1_m
000436,s7_piggybank_pick_all
M000436,s7_piggybank_pick_all_m
000437,s7_binoculars_pick_all
M000437,s7_binoculars_pick_all_m
000438,s7_wineglass_drink_2
M000438,s7_wineglass_drink_2_m
000439,s7_pyramidlarge_inspect_1
M000439,s7_pyramidlarge_inspect_1_m
000440,s7_bowl_pass_1
M000440,s7_bowl_pass_1_m
000441,s7_stamp_stamp_1
M000441,s7_stamp_stamp_1_m
000442,s7_binoculars_see_1
M000442,s7_binoculars_see_1_m
000443,s7_cylinderlarge_inspect_1
M000443,s7_cylinderlarge_inspect_1_m
000444,s7_cylindersmall_inspect_1
M000444,s7_cylindersmall_inspect_1_m
000445,s7_hand_inspect_1
M000445,s7_hand_inspect_1_m
000446,s7_train_pick_all
M000446,s7_train_pick_all_m
000447,s7_spheresmall_inspect_1
M000447,s7_spheresmall_inspect_1_m
000448,s7_pyramidmedium_pass_1
M000448,s7_pyramidmedium_pass_1_m
000449,s7_duck_pass_1
M000449,s7_duck_pass_1_m
000450,s7_cylindersmall_pass_1
M000450,s7_cylindersmall_pass_1_m
000451,s7_pyramidsmall_pass_1
M000451,s7_pyramidsmall_pass_1_m
000452,s7_waterbottle_open_1_Retake
M000452,s7_waterbottle_open_1_Retake_m
000453,s7_eyeglasses_pass_1
M000453,s7_eyeglasses_pass_1_m
000454,s7_watch_pass_1
M000454,s7_watch_pass_1_m
000455,s7_mug_pick_all
M000455,s7_mug_pick_all_m
000456,s7_mouse_pass_1
M000456,s7_mouse_pass_1_m
000457,s7_stanfordbunny_pass_1
M000457,s7_stanfordbunny_pass_1_m
000458,s7_stapler_staple_1
M000458,s7_stapler_staple_1_m
000459,s7_torussmall_pass_1
M000459,s7_torussmall_pass_1_m
000460,s7_phone_call_1
M000460,s7_phone_call_1_m
000461,s7_wineglass_toast_1
M000461,s7_wineglass_toast_1_m
000462,s7_train_pass_1
M000462,s7_train_pass_1_m
000463,s7_hammer_use_2
M000463,s7_hammer_use_2_m
000464,s7_spherelarge_pick_all
M000464,s7_spherelarge_pick_all_m
000465,s7_alarmclock_pick_all
M000465,s7_alarmclock_pick_all_m
000466,s7_eyeglasses_pick_all
M000466,s7_eyeglasses_pick_all_m
000467,s7_cubemedium_pick_all
M000467,s7_cubemedium_pick_all_m
000468,s7_apple_pass_1
M000468,s7_apple_pass_1_m
000469,s7_wineglass_pick_all
M000469,s7_wineglass_pick_all_m
000470,s7_flashlight_pick_all
M000470,s7_flashlight_pick_all_m
000471,s7_eyeglasses_clean_1
M000471,s7_eyeglasses_clean_1_m
000472,s7_doorknob_use_1
M000472,s7_doorknob_use_1_m
000473,s7_waterbottle_pass_1
M000473,s7_waterbottle_pass_1_m
000474,s7_flashlight_pass_1
M000474,s7_flashlight_pass_1_m
000475,s7_torussmall_inspect_1
M000475,s7_torussmall_inspect_1_m
000476,s7_apple_eat_1
M000476,s7_apple_eat_1_m
000477,s7_banana_peel_2
M000477,s7_banana_peel_2_m
000478,s7_mug_drink_1
M000478,s7_mug_drink_1_m
000479,s7_headphones_pass_1
M000479,s7_headphones_pass_1_m
000480,s7_eyeglasses_wear_1
M000480,s7_eyeglasses_wear_1_m
000481,s7_cup_pour_1
M000481,s7_cup_pour_1_m
000482,s7_wineglass_pass_1
M000482,s7_wineglass_pass_1_m
000483,s7_doorknob_pick_all
M000483,s7_doorknob_pick_all_m
000484,s7_airplane_pick_all_Retake
M000484,s7_airplane_pick_all_Retake_m
000485,s7_duck_inspect_1
M000485,s7_duck_inspect_1_m
000486,s7_hammer_use_1
M000486,s7_hammer_use_1_m
000487,s7_flute_pass_1
M000487,s7_flute_pass_1_m
000488,s7_airplane_pass_1
M000488,s7_airplane_pass_1_m
000489,s7_cubesmall_pass_1
M000489,s7_cubesmall_pass_1_m
000490,s7_waterbottle_drink_1
M000490,s7_waterbottle_drink_1_m
000491,s7_camera_browse_1
M000491,s7_camera_browse_1_m
000492,s7_hammer_pass_1
M000492,s7_hammer_pass_1_m
000493,s7_binoculars_pass_1
M000493,s7_binoculars_pass_1_m
000494,s7_pyramidlarge_pick_all
M000494,s7_pyramidlarge_pick_all_m
000495,s7_toruslarge_inspect_1_Retake
M000495,s7_toruslarge_inspect_1_Retake_m
000496,s7_stapler_pass_1
M000496,s7_stapler_pass_1_m
000497,s7_bowl_drink_1
M000497,s7_bowl_drink_1_m
000498,s7_cylinderlarge_pick_all
M000498,s7_cylinderlarge_pick_all_m
000499,s7_spherelarge_inspect_1
M000499,s7_spherelarge_inspect_1_m
000500,s7_cubelarge_pick_all
M000500,s7_cubelarge_pick_all_m
000501,s7_flashlight_on_2
M000501,s7_flashlight_on_2_m
000502,s7_cup_pass_1
M000502,s7_cup_pass_1_m
000503,s7_piggybank_use_1
M000503,s7_piggybank_use_1_m
000504,s7_pyramidsmall_inspect_1
M000504,s7_pyramidsmall_inspect_1_m
000505,s7_elephant_inspect_1
M000505,s7_elephant_inspect_1_m
000506,s7_camera_takepicture_2
M000506,s7_camera_takepicture_2_m
000507,s7_banana_eat_1
M000507,s7_banana_eat_1_m
000508,s7_mouse_use_1
M000508,s7_mouse_use_1_m
000509,s7_knife_chop_1
M000509,s7_knife_chop_1_m
000510,s7_teapot_pass_1
M000510,s7_teapot_pass_1_m
000511,s7_pyramidlarge_pass_1
M000511,s7_pyramidlarge_pass_1_m
000512,s7_stamp_pass_1
M000512,s7_stamp_pass_1_m
000513,s7_apple_pick_all
M000513,s7_apple_pick_all_m
000514,s7_cubemedium_inspect_1
M000514,s7_cubemedium_inspect_1_m
000515,s7_mug_drink_2
M000515,s7_mug_drink_2_m
000516,s7_wineglass_drink_1
M000516,s7_wineglass_drink_1_m
000517,s7_cylindermedium_pass_1
M000517,s7_cylindermedium_pass_1_m
000518,s7_stanfordbunny_pick_all
M000518,s7_stanfordbunny_pick_all_m
000519,s7_hand_pass_1
M000519,s7_hand_pass_1_m
000520,s7_elephant_pass_1
M000520,s7_elephant_pass_1_m
000521,s7_alarmclock_see_1
M000521,s7_alarmclock_see_1_m
000522,s7_lightbulb_pass_1
M000522,s7_lightbulb_pass_1_m
000523,s7_cylinderlarge_pass_1
M000523,s7_cylinderlarge_pass_1_m
000524,s7_cubemedium_pass_1
M000524,s7_cubemedium_pass_1_m
000525,s7_flashlight_on_1
M000525,s7_flashlight_on_1_m
000526,s7_gamecontroller_pick_all
M000526,s7_gamecontroller_pick_all_m
000527,s7_phone_pass_1
M000527,s7_phone_pass_1_m
000528,s7_hammer_use_3
M000528,s7_hammer_use_3_m
000529,s7_gamecontroller_play_1
M000529,s7_gamecontroller_play_1_m
000530,s7_stanfordbunny_inspect_1
M000530,s7_stanfordbunny_inspect_1_m
000531,s7_camera_pass_1
M000531,s7_camera_pass_1_m
000532,s7_toothbrush_pass_1
M000532,s7_toothbrush_pass_1_m
000533,s7_spheresmall_pass_1
M000533,s7_spheresmall_pass_1_m
000534,s7_cubelarge_inspect_1
M000534,s7_cubelarge_inspect_1_m
000535,s7_hammer_pick_all
M000535,s7_hammer_pick_all_m
000536,s7_gamecontroller_pass_1
M000536,s7_gamecontroller_pass_1_m
000537,s7_spheremedium_inspect_1
M000537,s7_spheremedium_inspect_1_m
000538,s7_banana_pass_1
M000538,s7_banana_pass_1_m
000539,s7_doorknob_use_2
M000539,s7_doorknob_use_2_m
000540,s7_camera_takepicture_3
M000540,s7_camera_takepicture_3_m
000541,s7_spherelarge_pass_1
M000541,s7_spherelarge_pass_1_m
000542,s7_fryingpan_cook_1
M000542,s7_fryingpan_cook_1_m
000543,s7_train_play_1
M000543,s7_train_play_1_m
000544,s7_banana_pick_all
M000544,s7_banana_pick_all_m
000545,s7_cubelarge_pass_1
M000545,s7_cubelarge_pass_1_m
000546,s7_toruslarge_pick_all
M000546,s7_toruslarge_pick_all_m
000547,s7_waterbottle_shake_1
M000547,s7_waterbottle_shake_1_m
000548,s7_pyramidmedium_inspect_1
M000548,s7_pyramidmedium_inspect_1_m
000549,s7_spheremedium_pass_1
M000549,s7_spheremedium_pass_1_m
000550,s7_headphones_use_1
M000550,s7_headphones_use_1_m
000551,s7_headphones_pick_all
M000551,s7_headphones_pick_all_m
000552,s7_banana_peel_1
M000552,s7_banana_peel_1_m
000553,s7_cylindermedium_inspect_1
M000553,s7_cylindermedium_inspect_1_m
000554,s7_piggybank_pass_1
M000554,s7_piggybank_pass_1_m
000555,s7_cup_drink_1
M000555,s7_cup_drink_1_m
000556,s6_stapler_pick_all
M000556,s6_stapler_pick_all_m
000557,s6_binoculars_pick_all
M000557,s6_binoculars_pick_all_m
000558,s6_stapler_staple_2
M000558,s6_stapler_staple_2_m
000559,s6_wineglass_drink_2
M000559,s6_wineglass_drink_2_m
000560,s6_pyramidlarge_inspect_1
M000560,s6_pyramidlarge_inspect_1_m
000561,s6_bowl_pass_1
M000561,s6_bowl_pass_1_m
000562,s6_stamp_stamp_1
M000562,s6_stamp_stamp_1_m
000563,s6_stapler_offhand_1_Retake
M000563,s6_stapler_offhand_1_Retake_m
000564,s6_cup_drink_2
M000564,s6_cup_drink_2_m
000565,s6_binoculars_see_1
M000565,s6_binoculars_see_1_m
000566,s6_pyramidsmall_inspect_2
M000566,s6_pyramidsmall_inspect_2_m
000567,s6_cylinderlarge_inspect_1
M000567,s6_cylinderlarge_inspect_1_m
000568,s6_cylindersmall_inspect_1
M000568,s6_cylindersmall_inspect_1_m
000569,s6_hand_inspect_1
M000569,s6_hand_inspect_1_m
000570,s6_pyramidmedium_pass_1
M000570,s6_pyramidmedium_pass_1_m
000571,s6_duck_pass_1
M000571,s6_duck_pass_1_m
000572,s6_toothpaste_pass_1
M000572,s6_toothpaste_pass_1_m
000573,s6_toothpaste_pick_all
M000573,s6_toothpaste_pick_all_m
000574,s6_cylindersmall_pass_1
M000574,s6_cylindersmall_pass_1_m
000575,s6_stapler_staple_1_Retake
M000575,s6_stapler_staple_1_Retake_m
000576,s6_eyeglasses_pass_1
M000576,s6_eyeglasses_pass_1_m
000577,s6_watch_pass_1
M000577,s6_watch_pass_1_m
000578,s6_mug_pick_all
M000578,s6_mug_pick_all_m
000579,s6_mouse_pass_1
M000579,s6_mouse_pass_1_m
000580,s6_stanfordbunny_pass_1
M000580,s6_stanfordbunny_pass_1_m
000581,s6_stapler_staple_1
M000581,s6_stapler_staple_1_m
000582,s6_mug_pass_1
M000582,s6_mug_pass_1_m
000583,s6_torussmall_pass_1
M000583,s6_torussmall_pass_1_m
000584,s6_phone_call_1
M000584,s6_phone_call_1_m
000585,s6_wineglass_toast_1
M000585,s6_wineglass_toast_1_m
000586,s6_train_pass_1
M000586,s6_train_pass_1_m
000587,s6_hammer_use_2
M000587,s6_hammer_use_2_m
000588,s6_spherelarge_pick_all
M000588,s6_spherelarge_pick_all_m
000589,s6_alarmclock_pick_all
M000589,s6_alarmclock_pick_all_m
000590,s6_cylindermedium_pick_all
M000590,s6_cylindermedium_pick_all_m
000591,s6_eyeglasses_pick_all
M000591,s6_eyeglasses_pick_all_m
000592,s6_cubemedium_pick_all
M000592,s6_cubemedium_pick_all_m
000593,s6_apple_pass_1
M000593,s6_apple_pass_1_m
000594,s6_wineglass_pick_all
M000594,s6_wineglass_pick_all_m
000595,s6_eyeglasses_clean_1
M000595,s6_eyeglasses_clean_1_m
000596,s6_hand_pick_all
M000596,s6_hand_pick_all_m
000597,s6_doorknob_use_1
M000597,s6_doorknob_use_1_m
000598,s6_waterbottle_pass_1
M000598,s6_waterbottle_pass_1_m
000599,s6_flashlight_pass_1
M000599,s6_flashlight_pass_1_m
000600,s6_airplane_pick_all
M000600,s6_airplane_pick_all_m
000601,s6_mug_toast_1
M000601,s6_mug_toast_1_m
000602,s6_apple_eat_1
M000602,s6_apple_eat_1_m
000603,s6_banana_peel_2
M000603,s6_banana_peel_2_m
000604,s6_cubesmall_inspect_1
M000604,s6_cubesmall_inspect_1_m
000605,s6_cubesmall_offhand_1
M000605,s6_cubesmall_offhand_1_m
000606,s6_headphones_pass_1
M000606,s6_headphones_pass_1_m
000607,s6_eyeglasses_wear_1
M000607,s6_eyeglasses_wear_1_m
000608,s6_cup_pour_1
M000608,s6_cup_pour_1_m
000609,s6_wineglass_pass_1
M000609,s6_wineglass_pass_1_m
000610,s6_toothpaste_squeeze_1_Retake
M000610,s6_toothpaste_squeeze_1_Retake_m
000611,s6_doorknob_pick_all
M000611,s6_doorknob_pick_all_m
000612,s6_duck_inspect_1
M000612,s6_duck_inspect_1_m
000613,s6_hammer_use_1
M000613,s6_hammer_use_1_m
000614,s6_flute_pass_1
M000614,s6_flute_pass_1_m
000615,s6_airplane_pass_1
M000615,s6_airplane_pass_1_m
000616,s6_cubesmall_pass_1
M000616,s6_cubesmall_pass_1_m
000617,s6_waterbottle_drink_1
M000617,s6_waterbottle_drink_1_m
000618,s6_camera_browse_1
M000618,s6_camera_browse_1_m
000619,s6_toothpaste_squeeze_2
M000619,s6_toothpaste_squeeze_2_m
000620,s6_scissors_use_2
M000620,s6_scissors_use_2_m
000621,s6_hammer_pass_1
M000621,s6_hammer_pass_1_m
000622,s6_binoculars_pass_1
M000622,s6_binoculars_pass_1_m
000623,s6_pyramidlarge_pick_all
M000623,s6_pyramidlarge_pick_all_m
000624,s6_teapot_pour_2
M000624,s6_teapot_pour_2_m
000625,s6_stapler_pass_1
M000625,s6_stapler_pass_1_m
000626,s6_fryingpan_pass_1
M000626,s6_fryingpan_pass_1_m
000627,s6_bowl_drink_1
M000627,s6_bowl_drink_1_m
000628,s6_teapot_pour_1
M000628,s6_teapot_pour_1_m
000629,s6_torusmedium_inspect_1
M000629,s6_torusmedium_inspect_1_m
000630,s6_camera_pick_all
M000630,s6_camera_pick_all_m
000631,s6_torusmedium_pass_1
M000631,s6_torusmedium_pass_1_m
000632,s6_cylinderlarge_pick_all
M000632,s6_cylinderlarge_pick_all_m
000633,s6_spherelarge_inspect_1
M000633,s6_spherelarge_inspect_1_m
000634,s6_duck_pick_all
M000634,s6_duck_pick_all_m
000635,s6_flashlight_on_2
M000635,s6_flashlight_on_2_m
000636,s6_knife_pick_all
M000636,s6_knife_pick_all_m
000637,s6_flute_play_1
M000637,s6_flute_play_1_m
000638,s6_cup_pass_1
M000638,s6_cup_pass_1_m
000639,s6_stamp_pick_all
M000639,s6_stamp_pick_all_m
000640,s6_elephant_inspect_1
M000640,s6_elephant_inspect_1_m
000641,s6_camera_takepicture_2
M000641,s6_camera_takepicture_2_m
000642,s6_banana_eat_1
M000642,s6_banana_eat_1_m
000643,s6_watch_set_1
M000643,s6_watch_set_1_m
000644,s6_toruslarge_pass_1
M000644,s6_toruslarge_pass_1_m
000645,s6_watch_set_2
M000645,s6_watch_set_2_m
000646,s6_teapot_pass_1
M000646,s6_teapot_pass_1_m
000647,s6_pyramidlarge_pass_1
M000647,s6_pyramidlarge_pass_1_m
000648,s6_cup_pick_all
M000648,s6_cup_pick_all_m
000649,s6_airplane_fly_1
M000649,s6_airplane_fly_1_m
000650,s6_bowl_drink_1_Retake
M000650,s6_bowl_drink_1_Retake_m
000651,s6_stamp_pass_1
M000651,s6_stamp_pass_1_m
000652,s6_apple_pick_all
M000652,s6_apple_pick_all_m
000653,s6_cubemedium_inspect_1
M000653,s6_cubemedium_inspect_1_m
000654,s6_mug_drink_2
M000654,s6_mug_drink_2_m
000655,s6_waterbottle_pour_1
M000655,s6_waterbottle_pour_1_m
000656,s6_wineglass_drink_1
M000656,s6_wineglass_drink_1_m
000657,s6_apple_offhand_1_Retake
M000657,s6_apple_offhand_1_Retake_m
000658,s6_cylindermedium_pass_1
M000658,s6_cylindermedium_pass_1_m
000659,s6_waterbottle_open_1
M000659,s6_waterbottle_open_1_m
000660,s6_hand_pass_1
M000660,s6_hand_pass_1_m
000661,s6_elephant_pass_1
M000661,s6_elephant_pass_1_m
000662,s6_alarmclock_see_1
M000662,s6_alarmclock_see_1_m
000663,s6_cylinderlarge_pass_1
M000663,s6_cylinderlarge_pass_1_m
000664,s6_alarmclock_pass_1
M000664,s6_alarmclock_pass_1_m
000665,s6_camera_takepicture_1
M000665,s6_camera_takepicture_1_m
000666,s6_cubemedium_pass_1
M000666,s6_cubemedium_pass_1_m
000667,s6_flashlight_on_1
M000667,s6_flashlight_on_1_m
000668,s6_spheresmall_pick_all
M000668,s6_spheresmall_pick_all_m
000669,s6_toruslarge_inspect_1
M000669,s6_toruslarge_inspect_1_m
000670,s6_cubesmall_pick_all
M000670,s6_cubesmall_pick_all_m
000671,s6_gamecontroller_pick_all
M000671,s6_gamecontroller_pick_all_m
000672,s6_phone_pass_1
M000672,s6_phone_pass_1_m
000673,s6_flute_pick_all
M000673,s6_flute_pick_all_m
000674,s6_hammer_use_3
M000674,s6_hammer_use_3_m
000675,s6_gamecontroller_play_1
M000675,s6_gamecontroller_play_1_m
000676,s6_mouse_pick_all
M000676,s6_mouse_pick_all_m
000677,s6_stanfordbunny_inspect_1
M000677,s6_stanfordbunny_inspect_1_m
000678,s6_camera_pass_1
M000678,s6_camera_pass_1_m
000679,s6_spheresmall_pass_1
M000679,s6_spheresmall_pass_1_m
000680,s6_phone_pick_all
M000680,s6_phone_pick_all_m
000681,s6_cubelarge_inspect_1
M000681,s6_cubelarge_inspect_1_m
000682,s6_hammer_pick_all
M000682,s6_hammer_pick_all_m
000683,s6_knife_peel_1
M000683,s6_knife_peel_1_m
000684,s6_gamecontroller_pass_1
M000684,s6_gamecontroller_pass_1_m
000685,s6_spheremedium_inspect_1
M000685,s6_spheremedium_inspect_1_m
000686,s6_banana_pass_1
M000686,s6_banana_pass_1_m
000687,s6_doorknob_use_2
M000687,s6_doorknob_use_2_m
000688,s6_camera_takepicture_3
M000688,s6_camera_takepicture_3_m
000689,s6_spheremedium_pick_all
M000689,s6_spheremedium_pick_all_m
000690,s6_spherelarge_pass_1
M000690,s6_spherelarge_pass_1_m
000691,s6_train_play_1
M000691,s6_train_play_1_m
000692,s6_cubelarge_pass_1
M000692,s6_cubelarge_pass_1_m
000693,s6_toruslarge_pick_all
M000693,s6_toruslarge_pick_all_m
000694,s6_waterbottle_shake_1
M000694,s6_waterbottle_shake_1_m
000695,s6_pyramidmedium_inspect_1
M000695,s6_pyramidmedium_inspect_1_m
000696,s6_piggybank_pick_all_Retake
M000696,s6_piggybank_pick_all_Retake_m
000697,s6_spheremedium_pass_1
M000697,s6_spheremedium_pass_1_m
000698,s6_headphones_use_1
M000698,s6_headphones_use_1_m
000699,s6_banana_peel_1
M000699,s6_banana_peel_1_m
000700,s6_cylindermedium_inspect_1
M000700,s6_cylindermedium_inspect_1_m
000701,s6_bowl_pick_all
M000701,s6_bowl_pick_all_m
000702,s6_piggybank_pass_1
M000702,s6_piggybank_pass_1_m
000703,s6_cup_drink_1
M000703,s6_cup_drink_1_m
000704,s10_stapler_pick_all
M000704,s10_stapler_pick_all_m
000705,s10_binoculars_pick_all
M000705,s10_binoculars_pick_all_m
000706,s10_stapler_staple_2
M000706,s10_stapler_staple_2_m
000707,s10_wineglass_drink_2
M000707,s10_wineglass_drink_2_m
000708,s10_bowl_pass_1
M000708,s10_bowl_pass_1_m
000709,s10_stamp_stamp_1
M000709,s10_stamp_stamp_1_m
000710,s10_pyramidmedium_pick_all
M000710,s10_pyramidmedium_pick_all_m
000711,s10_cup_drink_2
M000711,s10_cup_drink_2_m
000712,s10_toothpaste_squeeze_1
M000712,s10_toothpaste_squeeze_1_m
000713,s10_torusmedium_pick_all
M000713,s10_torusmedium_pick_all_m
000714,s10_binoculars_see_1
M000714,s10_binoculars_see_1_m
000715,s10_cylinderlarge_inspect_1
M000715,s10_cylinderlarge_inspect_1_m
000716,s10_cylindersmall_inspect_1
M000716,s10_cylindersmall_inspect_1_m
000717,s10_hand_inspect_1
M000717,s10_hand_inspect_1_m
000718,s10_train_pick_all
M000718,s10_train_pick_all_m
000719,s10_spheresmall_inspect_1
M000719,s10_spheresmall_inspect_1_m
000720,s10_pyramidmedium_pass_1
M000720,s10_pyramidmedium_pass_1_m
000721,s10_duck_pass_1
M000721,s10_duck_pass_1_m
000722,s10_toothpaste_pass_1
M000722,s10_toothpaste_pass_1_m
000723,s10_toothpaste_pick_all
M000723,s10_toothpaste_pick_all_m
000724,s10_cylindersmall_pass_1
M000724,s10_cylindersmall_pass_1_m
000725,s10_watch_pass_1
M000725,s10_watch_pass_1_m
000726,s10_mug_pick_all
M000726,s10_mug_pick_all_m
000727,s10_mouse_pass_1
M000727,s10_mouse_pass_1_m
000728,s10_stanfordbunny_pass_1
M000728,s10_stanfordbunny_pass_1_m
000729,s10_stapler_staple_1
M000729,s10_stapler_staple_1_m
000730,s10_mug_pass_1
M000730,s10_mug_pass_1_m
000731,s10_torussmall_pass_1
M000731,s10_torussmall_pass_1_m
000732,s10_phone_call_1
M000732,s10_phone_call_1_m
000733,s10_wineglass_toast_1
M000733,s10_wineglass_toast_1_m
000734,s10_train_pass_1
M000734,s10_train_pass_1_m
000735,s10_hammer_use_2
M000735,s10_hammer_use_2_m
000736,s10_spherelarge_pick_all
M000736,s10_spherelarge_pick_all_m
000737,s10_cubemedium_pick_all
M000737,s10_cubemedium_pick_all_m
000738,s10_apple_pass_1
M000738,s10_apple_pass_1_m
000739,s10_wineglass_pick_all
M000739,s10_wineglass_pick_all_m
000740,s10_hand_pick_all
M000740,s10_hand_pick_all_m
000741,s10_doorknob_use_1
M000741,s10_doorknob_use_1_m
000742,s10_waterbottle_pass_1
M000742,s10_waterbottle_pass_1_m
000743,s10_torussmall_inspect_1
M000743,s10_torussmall_inspect_1_m
000744,s10_airplane_pick_all
M000744,s10_airplane_pick_all_m
000745,s10_mug_toast_1
M000745,s10_mug_toast_1_m
000746,s10_apple_eat_1
M000746,s10_apple_eat_1_m
000747,s10_banana_peel_2
M000747,s10_banana_peel_2_m
000748,s10_cubesmall_inspect_1
M000748,s10_cubesmall_inspect_1_m
000749,s10_mug_drink_1
M000749,s10_mug_drink_1_m
000750,s10_headphones_pass_1
M000750,s10_headphones_pass_1_m
000751,s10_eyeglasses_wear_1
M000751,s10_eyeglasses_wear_1_m
000752,s10_cup_pour_1
M000752,s10_cup_pour_1_m
000753,s10_wineglass_pass_1
M000753,s10_wineglass_pass_1_m
000754,s10_doorknob_pick_all
M000754,s10_doorknob_pick_all_m
000755,s10_hammer_use_1
M000755,s10_hammer_use_1_m
000756,s10_flute_pass_1
M000756,s10_flute_pass_1_m
000757,s10_airplane_pass_1
M000757,s10_airplane_pass_1_m
000758,s10_lightbulb_screw_1
M000758,s10_lightbulb_screw_1_m
000759,s10_cubesmall_pass_1
M000759,s10_cubesmall_pass_1_m
000760,s10_waterbottle_drink_1
M000760,s10_waterbottle_drink_1_m
000761,s10_camera_browse_1
M000761,s10_camera_browse_1_m
000762,s10_alarmclock_pick_all_Retake
M000762,s10_alarmclock_pick_all_Retake_m
000763,s10_toothpaste_squeeze_2
M000763,s10_toothpaste_squeeze_2_m
000764,s10_hammer_pass_1
M000764,s10_hammer_pass_1_m
000765,s10_binoculars_pass_1
M000765,s10_binoculars_pass_1_m
000766,s10_bowl_drink_2
M000766,s10_bowl_drink_2_m
000767,s10_fryingpan_cook_2
M000767,s10_fryingpan_cook_2_m
000768,s10_scissors_pass_1
M000768,s10_scissors_pass_1_m
000769,s10_teapot_pour_2
M000769,s10_teapot_pour_2_m
000770,s10_stapler_pass_1
M000770,s10_stapler_pass_1_m
000771,s10_teapot_pour_1
M000771,s10_teapot_pour_1_m
000772,s10_torusmedium_inspect_1
M000772,s10_torusmedium_inspect_1_m
000773,s10_torusmedium_pass_1
M000773,s10_torusmedium_pass_1_m
000774,s10_cylinderlarge_pick_all
M000774,s10_cylinderlarge_pick_all_m
000775,s10_spherelarge_inspect_1
M000775,s10_spherelarge_inspect_1_m
000776,s10_cubelarge_pick_all
M000776,s10_cubelarge_pick_all_m
000777,s10_flashlight_on_2
M000777,s10_flashlight_on_2_m
000778,s10_flute_play_1
M000778,s10_flute_play_1_m
000779,s10_cup_pass_1
M000779,s10_cup_pass_1_m
000780,s10_piggybank_use_1
M000780,s10_piggybank_use_1_m
000781,s10_stamp_pick_all
M000781,s10_stamp_pick_all_m
000782,s10_scissors_use_1
M000782,s10_scissors_use_1_m
000783,s10_pyramidsmall_inspect_1
M000783,s10_pyramidsmall_inspect_1_m
000784,s10_elephant_inspect_1
M000784,s10_elephant_inspect_1_m
000785,s10_camera_takepicture_2
M000785,s10_camera_takepicture_2_m
000786,s10_banana_eat_1
M000786,s10_banana_eat_1_m
000787,s10_hand_shake_1
M000787,s10_hand_shake_1_m
000788,s10_knife_pass_1
M000788,s10_knife_pass_1_m
000789,s10_toruslarge_pass_1
M000789,s10_toruslarge_pass_1_m
000790,s10_mouse_use_1
M000790,s10_mouse_use_1_m
000791,s10_knife_chop_1
M000791,s10_knife_chop_1_m
000792,s10_teapot_pass_1
M000792,s10_teapot_pass_1_m
000793,s10_pyramidlarge_pass_1
M000793,s10_pyramidlarge_pass_1_m
000794,s10_torussmall_pick_all
M000794,s10_torussmall_pick_all_m
000795,s10_cup_pick_all
M000795,s10_cup_pick_all_m
000796,s10_airplane_fly_1
